Date,Company,Title,Level,Standard Level,Skill Index,Location,Total Yearly Compensation,Base Salary (/year),Stock Grant (/year),Bonus (/year),Years of Experience,Years at Company,Tag,Gender,Other Details,,,,,,,,,,
4-3-2020,HubSpot,Software Engineer,Senior Software Engineer,,,"Boston, MA",130000,125000,5000,0,4,0,Web Development (Front-End),Male,,,,,,,,,,,
4-3-2020,Grab,Software Engineer,G4,,,"Singapore, SG, Singapore",103000,82000,,21000,9,1,Site Reliability (SRE),Male,,,,,,,,,,,
4-3-2020,Xilinx,Software Engineering Manager,E8,,,"San Jose, CA",313000,190000,92000,30000,15,2,Site Reliability (SRE),,Masters,,,,,,,,,,
4-3-2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Vancouver, BC, Canada",133000,97000,12000,24000,5,1,Full Stack,Male,,,,,,,,,,,
4-3-2020,Google,Software Engineer,L4,Software Engineer,30.61,"San Francisco, CA",300000,200000,50000,50000,5,3,Security,Male,,,,,,,,,,,
4-3-2020,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Redmond, WA",232000,160000,48000,24000,7,0,Networking,Male,50k signon - Masters,,,,,,,,,,
4-3-2020,Expedia,Software Engineer,Senior SDE,Senior Engineer,54.04,"Austin, TX",214000,164000,35000,15000,9,2,DevOps,Male,,,,,,,,,,,
4-4-2020,Apstra,Member of Technical Staff,Entry,,,"Menlo Park, CA",127000,123000,,4000,1,1,Networking,Male,Masters,,,,,,,,,,
4-4-2020,Facebook,Data Scientist,IC3,,,"New York, NY",185000,125000,25000,35000,3,1,Product Analytics,,,,,,,,,,,,
4-4-2020,Yandex,Software Engineer,G16,Software Engineer,31.58,"Moscow, MC, Russia",32000,26000,2000,4000,3,2,DevOps,Male,,,,,,,,,,,
4-4-2020,Microsoft,Software Engineer,60,Entry Level Engineer,11.93,"Redmond, WA",161000,123000,25000,13000,3,0,Web Development (Front-End),,,,,,,,,,,,
4-4-2020,Salesforce,Software Engineer,Senior MTS,Senior Engineer,44.5,"Indianapolis, IN",161000,130000,11000,20000,12,2,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-4-2020,Deloitte,Management Consultant,Senior Consultant,,36.87,"New York, NY",158000,153000,,5000,8,6,Strategy,Male,Masters,,,,,,,,,,
4-4-2020,GOJEK,Software Engineer,L4,,,"Singapore, SG, Singapore",86000,86000,,0,5,2,API Development (Back-End),Male,,,,,,,,,,,
4-4-2020,PwC,Management Consultant,Senior Associate,,,"New York, NY",160000,153000,,7000,8,1,Deals,,Masters,,,,,,,,,,
4-4-2020,Rubrik,Software Engineer,L4,Software Engineer,30.61,"Palo Alto, CA",251000,175000,50000,26000,3,3,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-4-2020,Apple,Hardware Engineer,ICT3,,,"San Francisco, CA",220000,150000,60000,12000,7,2,HW,Male,Masters,,,,,,,,,,
4-4-2020,Lyft,Software Engineering Manager,M1,,,"San Francisco, CA",432000,210000,222000,0,14,3,People Management,Male,,,,,,,,,,,
4-4-2020,Jane Street,Software Engineer,New Grad,,,"London, EN, United Kingdom",240000,145000,,93000,0,0,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-4-2020,Bloomberg,Software Engineer,Senior Software Engineer,Staff Engineer,65.59,"New York, NY",240000,198000,,42000,5,1.5,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-4-2020,Expedia,Software Engineering Manager,Director,,,"Seattle, WA",265000,195000,35000,35000,26,14,Web Development (Front-End),Male,,,,,,,,,,,
4-4-2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Redmond, WA",184000,133000,26000,25000,1,0,Full Stack,Male,,,,,,,,,,,
4-4-2020,EY,Technical Program Manager,Managing Director,,,"Seattle, WA",310000,250000,30000,30000,25,5,Security,,,,,,,,,,,,
4-4-2020,Yelp,Software Engineer,IC2,Software Engineer,27.78,"San Francisco, CA",162000,120000,42000,0,1,1,iOS,Male,No Degree,,,,,,,,,,
4-4-2020,McKinsey,Management Consultant,Associate,,30.3,"Dallas, TX",204000,171000,,33000,7,2,Strategy consulting,Male,Masters,,,,,,,,,,
4-4-2020,Facebook,Product Designer,IC5,,55,"London, EN, United Kingdom",170000,115000,36000,17000,4,0,Design,Female,,,,,,,,,,,
4-4-2020,IBM,Solution Sales Specialist,6,,,"Toronto, ON, Canada",70000,59000,,11000,2,2,Sales,Male,Summit Program,,,,,,,,,,
4-4-2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Boulder, CO",139000,102000,20000,17000,0,0,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-4-2020,JPMorgan Chase,Chase Associate Program,Senior Associate,,,"Columbus, OH",140000,125000,,15000,3,1,Rotational Program,Male,Masters,,,,,,,,,,
4-4-2020,Qualcomm,Software Engineer,Staff Engineer,Senior Engineer,46,"San Diego, CA",230000,135000,68000,28000,8,8,Firmware,Male,Masters,,,,,,,,,,
4-4-2020,WSP,Electrical Engineer,Senior,,,"Toronto, ON, Canada",90000,90000,,0,14,1,Power,Male,,,,,,,,,,,
4-4-2020,Cisco,Distinguished Engineer,Distinguished Engineer,,,"San Jose, CA",800000,260000,400000,140000,20,4,Security,Male,Masters,,,,,,,,,,
4-4-2020,Marvell Semiconductors,System Engineer,T3,,,"Santa Clara, CA",150000,126000,12000,12000,5,2,DSP,Male,Masters,,,,,,,,,,
4-4-2020,Ihsmarkit,Product Manager,L3,,,"Dallas, TX",72000,70000,,2000,4,1,Software,Male,Masters,,,,,,,,,,
4-4-2020,Gartner,Product Manager,Director,,,"Stamford, CT",200000,175000,,25000,18,9,ML / AI,Male,,,,,,,,,,,
4-4-2020,DXC Technology,Advisor Program Manager,Staff,,,"San Francisco, CA",150000,150000,,0,20,0,Program Management,Male,Masters,,,,,,,,,,
4-4-2020,Stripe,Software Engineer,L3,Senior Engineer,55.19,"San Francisco, CA",450000,209000,210000,31000,7,2,Full Stack,Male,,,,,,,,,,,
4-4-2020,PayPal,Software Engineer,T25,Senior Engineer,40.85,"San Jose, CA",253000,200000,33000,20000,9,1.5,Full Stack,Male,Masters,,,,,,,,,,
4-4-2020,CACI International,Network Engineer,1,,,"High Point, NC",67000,67000,,0,1,1,Networking,Male,,,,,,,,,,,
4-4-2020,SAP,Product Designer,L2,,,"Palo Alto, CA",120000,110000,,9000,1,0,UX,Female,Masters,,,,,,,,,,
4-4-2020,Microsoft,Product Designer,60,,,"Seattle, WA",165000,118000,37000,10000,0,0,Full Stack,,Masters,,,,,,,,,,
4-4-2020,esri,UX Architect,junior,,,"Redlands, CA",74000,74000,,0,5,2.5,UX Design,Female,,,,,,,,,,,
4-4-2020,Facebook,Software Engineer,E3,Entry Level Engineer,10.1,"Menlo Park, CA",168000,118000,38000,12000,0,0,Site Reliability (SRE),Male,30k signon,,,,,,,,,,
4-4-2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"San Bruno, CA",184000,132000,33000,19000,1,1,Web Development (Front-End),Male,No Bachelors,,,,,,,,,,
4-4-2020,Yahoo,Software Engineering Manager,IC6,,,"Sunnyvale, CA",545000,235000,250000,60000,15,7,Mobile (iOS + Android),Male,Masters,,,,,,,,,,
4-4-2020,Petuum,Software Engineer,SDE II,,,"Pittsburgh, PA",120000,115000,,5000,2,2,ML / AI,Male,Masters,,,,,,,,,,
4-5-2020,JPMorgan Chase,Software Engineer,Senior Associate,Software Engineer,28.57,"Glasgow, SC, United Kingdom",69000,59000,,10000,4,2,Full Stack,Male,,,,,,,,,,,
4-5-2020,Accenture,Management Consultant,Consultant,,36.87,"New York, NY",193000,160000,,33000,6,1,MC,Male,Masters,,,,,,,,,,
4-5-2020,Adyen,Software Engineer,Senior,,,"Amsterdam, NH, Netherlands",99000,89000,10000,0,8,4,API Development (Back-End),Male,,,,,,,,,,,
4-5-2020,Microsoft,Software Engineer,SDE,Entry Level Engineer,3.98,"Redmond, WA",160000,110000,30000,20000,0,0,Full Stack,Male,Masters,,,,,,,,,,
4-5-2020,Urbint,Product Manager,L1,,,"New York, NY",141000,133000,3000,5000,7,1,ML / AI,Male,Signing Bonus: $5K - Masters,,,,,,,,,,
4-5-2020,Charles Schwab,Software Engineer,Staff,,,"Austin, TX",91000,82000,,9000,3,3,API Development (Back-End),Male,,,,,,,,,,,
4-5-2020,Amazon,Product Manager,Senior Product Manager,,35.29,"Boston, MA",255000,150000,65000,40000,15,2,ML / AI,Male,Masters,,,,,,,,,,
4-5-2020,Amazon,Product Manager,Senior Product Manager,,35.29,"Seattle, WA",194000,150000,44000,0,10,2,Full Stack,,Masters,,,,,,,,,,
4-5-2020,Carta,Software Engineer,L2,,,"San Francisco, CA",150000,150000,,0,5,0,Full Stack,,,,,,,,,,,,
4-5-2020,Boeing,Structures Engineer,L4,,,"Los Angeles, CA",145000,140000,,5000,10,10,Aerospace,,,,,,,,,,,,
4-5-2020,Atlassian,Software Engineer,P4,Software Engineer,33.17,"Bengaluru, KA, India",72000,45000,22000,5000,8,1,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-5-2020,Atlassian,Software Engineer,P4,Software Engineer,33.17,"Bengaluru, KA, India",77000,50000,22000,5000,8,1,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-5-2020,Amazon,Product Manager,Senior Product Manager,,35.29,"Seattle, WA",250000,155000,10000,85000,4,1,Web Development (Front-End),Male,Masters,,,,,,,,,,
4-5-2020,Bloomberg,Software Engineer,Senior Software Engineer,Staff Engineer,65.59,"New York, NY",174000,152000,,22000,7,4,Full Stack,Male,Masters,,,,,,,,,,
4-5-2020,JPMorgan Chase,Software Engineer,SEP,,,"Tampa, FL",85000,80000,,5000,0,0,API Development (Back-End),Male,,,,,,,,,,,
4-5-2020,Google,Software Engineer,L5,Senior Engineer,51.02,"New York, NY",346000,190000,127000,28000,8,0,Mobile (iOS + Android),Male,Masters,,,,,,,,,,
4-5-2020,Uber,Marketing Specialist,L1,,,"Toronto, ON, Canada",62000,62000,,0,1,1,marketing,,,,,,,,,,,,
4-5-2020,Microsoft,Product Manager,64,,25.76,"Seattle, WA",251000,175000,45000,31000,7,0,Strategy,Male,Masters,,,,,,,,,,
4-5-2020,Amazon,User Experience Researcher,L5,,,"Seattle, WA",185000,120000,35000,25000,3,0,Design,Male,Masters and PhD,,,,,,,,,,
4-5-2020,Vista Technical Services,Software Engineer,PA3,,,"Rock Island, IL",81000,81000,,0,15,1,Full Stack,Male,,,,,,,,,,,
4-5-2020,GoodRx,Software Engineer,Principal,,,"Santa Monica, CA",300000,180000,100000,20000,15,1,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-5-2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",180000,140000,20000,15000,2,0,Security,Male,Masters,,,,,,,,,,
4-5-2020,WeWork,Product Manager,Director,,83.5,"San Francisco, CA",330000,310000,20000,0,18,1,DevOps,,Masters,,,,,,,,,,
4-5-2020,Nutanix,Software Engineer,2,,,"San Jose, CA",166000,138000,23000,5000,2,0,ML / AI,Male,,,,,,,,,,,
4-5-2020,Apple,Software Engineer,ICT3,Software Engineer,25,"Cupertino, CA",254000,170000,63000,21000,2,0,API Development (Back-End),Female,Masters,,,,,,,,,,
4-5-2020,Google,Software Engineer,L4,Software Engineer,30.61,"San Bruno, CA",247000,151000,70000,26000,4,3,iOS,Male,,,,,,,,,,,
4-5-2020,Epic Systems,Software Developer,Software Developer,,,"Verona, WI",293000,170000,111000,12000,5,5,Full Stack,Male,,,,,,,,,,,
4-5-2020,Amazon,Marketing Operations,L5,,,"New York, NY",117000,105000,12000,0,4,0,CRM,Female,Sign on: 25K - Masters,,,,,,,,,,
4-5-2020,Netflix,Data Scientist,Senior Data Scientist,,,"Los Gatos, CA",400000,380000,20000,0,6,2,ML / AI,Other,Masters,,,,,,,,,,
4-5-2020,Samsung,Director of Sales,Director,,,"San Diego, CA",300000,195000,,105000,22,3,Sales,Male,,,,,,,,,,,
4-5-2020,Salesforce,Software Engineer,MTS,Software Engineer,26,"San Francisco, CA",186000,156000,15000,16000,3,1,Full Stack,Male,Masters,,,,,,,,,,
4-5-2020,Salesforce,Software Engineer,MTS,Software Engineer,26,"Seattle, WA",182000,120000,50000,12000,1,1,Full Stack,Male,,,,,,,,,,,
4-5-2020,Amazon,Software Engineer,SDE III,Senior Engineer,55.98,"Seattle, WA",290000,148000,142000,0,8,8,Distributed Systems (Back-End),,Masters,,,,,,,,,,
4-5-2020,Tesla,Software Engineer,P3,Senior Engineer,53.5,"Palo Alto, CA",161000,136000,25000,0,4,2,Firmware,Male,,,,,,,,,,,
4-5-2020,F5 Networks,Software Engineer,Software Engineer I,,,"San Jose, CA",144000,108000,25000,11000,1,1,Full Stack,Male,Masters,,,,,,,,,,
4-5-2020,Mozilla,Software Engineer,P3,,,"Portland, OR",208000,150000,,58000,8,4,Desktop,Male,,,,,,,,,,,
4-5-2020,Morgan Stanley,Software Engineer,Associate,,,"New York, NY",160000,139000,,21000,12,3,API Development (Back-End),Male,,,,,,,,,,,
4-5-2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"New York, NY",205000,130000,50000,25000,2,1,Full Stack,,,,,,,,,,,,
4-5-2020,Oracle,Product Designer,IC-3,,,"Seattle, WA",150000,138000,12000,0,9,1,Full Stack,,,,,,,,,,,,
4-5-2020,Microsoft,Product Manager,62,,10.61,"Seattle, WA",167000,148000,7000,11000,14,12,Security,Female,,,,,,,,,,,
4-5-2020,Oracle,Software Engineer,IC-2,Entry Level Engineer,10,"Seattle, WA",196000,140000,51000,5000,0,0,API Development (Back-End),,Masters,,,,,,,,,,
4-5-2020,Dell,Solution Architect,S7,,,"San Jose, CA",240000,168000,,72000,17,2,Sales,Male,,,,,,,,,,,
4-5-2020,Intuit,Software Engineer,Senior Software Engineer,Senior Engineer,50.51,"Edmonton, AB, Canada",91000,69000,12000,10000,7,3,Full Stack,Male,Masters,,,,,,,,,,
4-5-2020,Microsoft,Software Engineer,60,Entry Level Engineer,11.93,"Reston, VA",165000,120000,5000,40000,4,2,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-5-2020,Nvidia,Data Scientist,IC2,,,"Santa Clara, CA",140000,130000,10000,0,2,2,ML / AI,Male,Masters,,,,,,,,,,
4-5-2020,Amazon,BIE,L6,,,"Seattle, WA",190000,130000,50000,10000,10,3,ML / AI,Male,,,,,,,,,,,
4-5-2020,Amazon,Software Engineering Manager,L6 SDM,,20.83,"Seattle, WA",305000,160000,145000,0,11,10,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-5-2020,Amazon,Product Manager,Senior Product Manager,,35.29,"Seattle, WA",220000,140000,80000,0,15,4,Web Development (Front-End),,,,,,,,,,,,
4-5-2020,Raytheon,Software Engineer,Junior I,,,"Aurora, CO",79000,75000,,4000,2,2,Testing (SDET),Male,,,,,,,,,,,
4-5-2020,The New York Times,Software Engineer,Software Engineer,,,"New York, NY",115000,105000,,10000,3,2,API Development (Back-End),Male,,,,,,,,,,,
4-5-2020,Jacobs,Civil Engineer,Project Controls Analyst,,,"San Ramon, CA",93000,93000,,0,3,0.5,Project Management,Male,Masters,,,,,,,,,,
4-5-2020,Adesso Insurance Solutions GmbH,Software Engineer,Senior Software Engineer,,,"Dortmund, NW, Germany",73000,63000,,10000,6,3,Full Stack,Male,,,,,,,,,,,
4-5-2020,OkCredit,Software Engineer,Principal,,,"Bengaluru, KA, India",92000,78000,14000,0,6,1,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-5-2020,Cisco,Software Engineer,Software Engineer III,Software Engineer,26.8,"San Jose, CA",155000,128000,12000,15000,4,3.5,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-5-2020,Salesforce,Software Engineer,AMTS,,,"San Francisco, CA",171000,133000,25000,13000,0,0,Full Stack,Male,,,,,,,,,,,
4-6-2020,Apple,Software Engineer,Senior,,,"Austin, TX",120000,120000,,0,7,1,Testing (SDET),,Masters,,,,,,,,,,
4-6-2020,GoDaddy,Software Engineer,SDE 3,Software Engineer,32.22,"Kirkland, WA",161000,123000,24000,12000,2,2,Distributed Systems (Back-End),,,,,,,,,,,,
4-6-2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",152000,112000,4000,36000,5,0,iOS,Female,Masters,,,,,,,,,,
4-6-2020,Cognizant,Lead Administrator,Senior Asscoiate,,,"Mississauga, ON, Canada",100000,100000,,0,10,2,SAP,Male,,,,,,,,,,,
4-6-2020,Google,Software Engineer,L4,Software Engineer,30.61,"Mountain View, CA",263000,160000,79000,24000,2,0,Full Stack,Male,,,,,,,,,,,
4-6-2020,HighRes Biosolution,Software Engineer,Principal Engineer,,,"Beverly, MA",159000,159000,,0,18,3,Full Stack,,,,,,,,,,,,
4-6-2020,army,Technical Program Manager,3,,,"Clarksville, TN",10000,2000,2000,2000,7,7,API Development (Back-End),,,,,,,,,,,,
4-6-2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Hyderabad, AP, India",45000,36000,5000,4000,8,2,Full Stack,Male,,,,,,,,,,,
4-6-2020,Flatiron Health,Software Engineering Manager,e5,,,"New York, NY",280000,200000,30000,50000,10,2,API Development (Back-End),,Masters,,,,,,,,,,
4-6-2020,Amplitude,Software Engineer,Software Engineer II,,,"San Francisco, CA",155000,155000,,0,3,1,Full Stack,Male,Plenty of stock options!,,,,,,,,,,
4-6-2020,Cisco Webex,Software Engineer,62,,,"San Jose, CA",169000,140000,18000,11000,3,3,API Development (Back-End),Male,"22,000 signing bonus",,,,,,,,,,
4-6-2020,Nike,Product Manager,Director,,,"Portland, OR",249000,162000,55000,32000,11,7,Analytics,Male,,,,,,,,,,,
4-6-2020,Deutsche Bank,Software Engineer,Analyst,,,"New York, NY",99000,95000,,4000,0,0,Web Development (Front-End),Male,,,,,,,,,,,
4-6-2020,Google,Customer Engineer,L4,,,"New York, NY",267000,147000,50000,70000,5,3,Sales,Male,Masters,,,,,,,,,,
4-6-2020,Amazon,Cloud Support Engineer,L4,,,"Dallas, TX",123000,95000,13000,15000,8,1,Full Stack,Male,Masters,,,,,,,,,,
4-6-2020,Honeywell,Product Manager,4,,,"Atlanta, GA",254000,204000,20000,30000,20,2,Product,Male,Masters,,,,,,,,,,
4-6-2020,Amazon,Data Scientist,L4,,,"Cambridge, EN, United Kingdom",93000,71000,22000,0,2,2,ML / AI,Male,Masters,,,,,,,,,,
4-6-2020,USAA,Software Engineer,Software Engineer III,Entry Level Engineer,6.78,"San Antonio, TX",81000,66000,,15000,0,0,Unknown,Male,,,,,,,,,,,
4-6-2020,eBay,Software Engineer,24,,,"San Jose, CA",187000,143000,30000,14000,10,6,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-6-2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Austin, TX",229000,160000,9000,60000,20,0,Testing (SDET),Male,,,,,,,,,,,
4-6-2020,Apple,Hardware Engineer,ICT4,,,"Cupertino, CA",295000,177000,100000,18000,25,5,Hardware Engineering,Male,,,,,,,,,,,
4-6-2020,PeerIQ,Software Engineering Manager,Senior Software Engineer,,,"New York, NY",152000,152000,,0,7,1,Distributed Systems (Back-End),,Masters,,,,,,,,,,
4-6-2020,BCG,Management Consultant,Senior Associate,,,"Houston, TX",150000,120000,,30000,3,0,Management Consultant,,,,,,,,,,,,
4-6-2020,Zillow,Data Scientist,P3,,,"Seattle, WA",165000,135000,30000,0,9,0,AB testing,Male,50k signing bonus over 2 years - Masters,,,,,,,,,,
4-6-2020,Oracle,Technical Program Manager,IC-5,,,"Redwood City, CA",163000,163000,,0,28,9,Program management,Female,Masters,,,,,,,,,,
4-6-2020,Northrop Grumman,Software Engineer,L3,,,"Redondo Beach, CA",98000,93000,5000,0,2,1,Distributed Systems (Back-End),Female,,,,,,,,,,,
4-6-2020,Twitter,Data Scientist,L6,,,"Boulder, CO",266000,151000,85000,30000,4,3,data science,Male,hispanic/latinx - Masters,,,,,,,,,,
4-6-2020,Magic Leap,Software Engineering Manager,Lead Software Engineer,,,"Sunnyvale, CA",450000,200000,200000,50000,20,2,Mixed Reality,,Masters,,,,,,,,,,
4-6-2020,Dropbox,Software Engineer,IC2,Software Engineer,30.3,"New York, NY",214000,142000,58000,14000,1,1,Full Stack,Male,,,,,,,,,,,
4-6-2020,Microsoft,Product Manager,65,,34.34,"Redmond, WA",290000,191000,70000,29000,10,3,ML / AI,Male,Masters,,,,,,,,,,
4-6-2020,Apple,Data Scientist,4,,,"Cupertino, CA",252000,180000,45000,27000,5,0,Mobile (iOS + Android),Female,Masters,,,,,,,,,,
4-6-2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",195000,144000,51000,0,2,2,Full Stack,Male,,,,,,,,,,,
4-6-2020,Microsoft,Data Scientist,65,,,"Seattle, WA",245000,190000,25000,30000,11,2,data science,,Masters,,,,,,,,,,
4-6-2020,Amazon,Software Engineering Manager,L6 SDM,,20.83,"New York, NY",400000,185000,127000,88000,15,1,Full Stack,Male,Masters,,,,,,,,,,
4-6-2020,Nvidia,Hardware Engineer,IC2,,,"Santa Clara, CA",138000,128000,10000,0,0,0,ASIC,,Masters,,,,,,,,,,
4-6-2020,Workday,Product Manager,P1,,,"Pleasanton, CA",126000,110000,16000,0,4,0,Tools,Female,,,,,,,,,,,
4-6-2020,CBS interactive,Product Manager,Product Manager,,,"Los Angeles, CA",100000,100000,,0,10,3,Testing (SDET),,,,,,,,,,,,
4-6-2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Palo Alto, CA",195000,139000,5000,51000,1,1,Distributed Systems (Back-End),Male,51k bonus 1st yeat - PhD,,,,,,,,,,
4-6-2020,Cadence,Software Engineer,t4,,,"San Jose, CA",145000,130000,5000,10000,0,0,DevOps,Male,PhD,,,,,,,,,,
4-6-2020,Nvidia,PhD internship,Research Intern,,,"New York, NY",163000,139000,,24000,5,0,ML / AI,Male,PhD,,,,,,,,,,
4-6-2020,Google,Software Engineer,L4,Software Engineer,30.61,"Mountain View, CA",240000,150000,70000,20000,3,3,Technical Infrastructure,Male,,,,,,,,,,,
4-6-2020,Asurion,Software Engineer,L5,,,"Mountain View, CA",240000,195000,10000,35000,12,5,API Development (Back-End),Male,Masters,,,,,,,,,,
4-6-2020,Uber,Product Manager,Product Manager II,,40.5,"San Francisco, CA",256000,159000,85000,12000,5,5,iOS,Female,,,,,,,,,,,
4-6-2020,EPAM Systems,Software Engineer,Lead,,,"Irvine, CA",135000,125000,,10000,10,10,Full Stack,Male,Masters,,,,,,,,,,
4-6-2020,Airbnb,Software Engineer,L6,Staff Engineer,72.89,"Beijing, BJ, China",500000,200000,250000,50000,9,0,Mobile (iOS + Android),Male,Masters,,,,,,,,,,
4-6-2020,PayPal,Software Engineer,T26,Senior Engineer,54.93,"Los Angeles, CA",238000,163000,50000,25000,5,2,Full Stack,Male,,,,,,,,,,,
4-6-2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Redmond, WA",162000,129000,20000,13000,4,0,API Development (Back-End),,23k sign-on,,,,,,,,,,
4-6-2020,Wayfair,Associate Director,L5,,,"Boston, MA",358000,165000,160000,33000,10,7,Engineering Leadership,Male,Masters,,,,,,,,,,
4-6-2020,Optum,Software Engineer,TDP,,,"Basking Ridge, NJ",90000,80000,,10000,0,0,Full Stack,Male,,,,,,,,,,,
4-6-2020,Salesforce,Software Engineer,MTS,Software Engineer,26,"Bengaluru, KA, India",46000,33000,10000,3000,3,0,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-6-2020,SoundHound,Data Analyst,L2,,,"Santa Clara, CA",100000,90000,10000,2000,1,1,Analysis,,Masters,,,,,,,,,,
4-6-2020,Facebook,Product Designer,IC5,,55,"Seattle, WA",257000,176000,55000,26000,12,0,ML / AI,Male,,,,,,,,,,,
4-6-2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",195000,135000,6000,54000,4,1,API Development (Back-End),Male,Masters,,,,,,,,,,
4-6-2020,Autodesk,Software Engineer,Senior Software Engineer 2,Software Engineer,35.86,"Singapore, SG, Singapore",93000,72000,14000,7000,6,5,API Development (Back-End),Male,,,,,,,,,,,
4-6-2020,Amazon,Software Engineer,SDE III,Senior Engineer,55.98,"Seattle, WA",399000,160000,239000,0,14,3,ML / AI,Male,Masters and PhD,,,,,,,,,,
4-7-2020,Amazon,Data Scientist,L4,,,"Seattle, WA",154000,120000,4000,30000,0,0,ML / AI,Male,,,,,,,,,,,
4-7-2020,Tata consultacy,Product Designer,F1,,,"Banganapalle, AP, India",345000,320000,,25000,23,4,ML / AI,,Masters,,,,,,,,,,
4-7-2020,Google,Software Engineer,L4,Software Engineer,30.61,"Zurich, ZH, Switzerland",236000,156000,45000,35000,12,3,Full Stack,Male,PhD,,,,,,,,,,
4-7-2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Seattle, WA",149000,130000,5000,13000,4,2,Full Stack,Male,,,,,,,,,,,
4-7-2020,Appdynamics,Software Engineer,Tech Lead,,,"Bangalore, KA, India",66000,42000,19000,5000,8,4,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-7-2020,Tesco,Software Engineer,Senior,,,"London, EN, United Kingdom",115000,105000,,10000,15,0,API Development (Back-End),Male,Masters,,,,,,,,,,
4-7-2020,Salesforce,Software Engineer,Senior MTS,Senior Engineer,44.5,"Burlington, MA",245000,185000,25000,35000,6,4,Full Stack,Male,,,,,,,,,,,
4-7-2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",165000,117000,48000,0,1,1,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-7-2020,Bloomingdales,Software Engineering Manager,L4,,,"New York, NY",145000,145000,,0,6,3,Full Stack,Male,PhD,,,,,,,,,,
4-7-2020,Nava PBC,Product Manager,2,,,"Washington, DC",110000,110000,,0,1,1,Full Stack,Male,,,,,,,,,,,
4-7-2020,Cisco,Product Manager,9,,,"San Jose, CA",180000,157000,7000,17000,1,0,Networking,Male,Masters,,,,,,,,,,
4-7-2020,Bluestem Brands,"Director, IT",Director,,,"Eden Prairie, MN",168000,168000,,0,15,5,DevOps,Male,Masters,,,,,,,,,,
4-7-2020,Cisco,Software Engineer,Software Engineer III,Software Engineer,26.8,"San Jose, CA",180000,150000,12000,18000,3,3,Automation and Test Engineer,Male,,,,,,,,,,,
4-7-2020,General Motors,Software Engineer,Software Engineer 1,Entry Level Engineer,10,"Austin, TX",81000,74000,,8000,2,2,Testing (SDET),Male,2.5 years of experience and at GM,,,,,,,,,,
4-7-2020,The Hackett Group,Associate Principal,Senior,,,"Chicago, IL",315000,275000,30000,10000,12,10,Consulting,Male,Masters,,,,,,,,,,
4-7-2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Hyderabad, TS, India",48000,30000,12000,6000,4,0,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-7-2020,DocuSign,Software Engineer,P3,,,"Seattle, WA",170000,118000,40000,11000,4,4,Full Stack,Male,,,,,,,,,,,
4-7-2020,Samsara,Product Manager,2,,,"Atlanta, GA",150000,130000,20000,0,9,1,Web Development (Front-End),Other,Masters,,,,,,,,,,
4-7-2020,Apple,Software Engineer,ICT3,Software Engineer,25,"Cupertino, CA",178000,143000,26000,12000,1,1,Full Stack,Female,,,,,,,,,,,
4-7-2020,Apple,Technical Program Manager,ICT3,,,"Cupertino, CA",255000,145000,82000,28000,5,3,Hardware Manufacturing,Female,,,,,,,,,,,
4-7-2020,Facebook,Software Engineer,E5,Senior Engineer,50.51,"Menlo Park, CA",297000,190000,80000,27000,5,1,API Development (Back-End),,Masters,,,,,,,,,,
